Column1,shares,likes,Unnamed: 3,Unnamed: 4
902,2967,2653,,
903,320,1156,,
904,13010,3438,,
905,292,2026,,
906,72,1306,,
907,4700,1568,,
908,163,227,,
909,1028,4130,,
910,2851,3995,,
911,589,1920,,
912,186,613,,
913,244,452,,
914,2054,1863,,
915,0,2238,,
916,84,1024,,
917,5200,6378,,
918,1640,6668,,
919,2596,11893,,
920,1702,3216,,
921,873,1808,,
922,717,8727,,
923,445,12623,,
924,4172,20474,,
925,205,2708,,
926,2015,3006,,
927,520,10766,,
928,193,3906,,
929,863,3285,,
930,854,4555,,
931,1232,656,,
932,8534,8679,,
933,2693,1960,,
934,500,3849,,
935,813,2472,,
936,1238,3926,,
937,2117,11975,,
938,1102,6558,,
939,612,7201,,
940,2807,7629,,
941,496,2034,,
942,498,1937,,
943,14034,3619,,
944,408,7284,,
945,495,513,,
946,1121,1747,,
947,2038,3228,,
948,1657,2475,,
949,1530,1074,,
950,254,708,,
951,154,968,,
952,598,7424,,
953,228,2851,,
954,1655,4086,,
955,145,2310,,
956,327,1625,,
957,310,1632,,
958,1043,4723,,
959,1300,716,,
960,187,1448,,
961,1650,10616,,
962,343,1461,,
963,25985,20413,,
964,1682,2870,,
965,1038,3964,,
966,2942,17332,,
967,481,5992,,
968,5178,18361,,
969,382,4477,,
970,2276,7450,,
971,2616,7876,,
972,448,4241,,
973,415,2978,,
974,96,2041,,
975,2663,46475,,
976,7290,10371,,
977,3746,28244,,
978,642,2066,,
979,928,9745,,
980,677,1354,,
981,3702,2585,,
982,390,420,,
983,1168,5328,,
984,5877,123471,,
985,671,4708,,
986,544,2964,,
987,924,1888,,
988,1211,14516,,
989,1600,7540,,
990,152,2512,,
991,1751,4515,,
992,4645,2284,,
993,3332,10795,,
994,174,535,,
995,0,924,,
996,889,3232,,
997,229,942,,
998,255,1480,,
999,222,549,,
1000,958,3095,,
